origin,destination,total_ridership,origin_label,destination_label,log_ridership
KG07: Surian,KJ13: Masjid Jamek,2693,Surian,Masjid Jamek,3.4302363534115106
KG07: Surian,KJ14: Pasar Seni,15680,Surian,Pasar Seni,4.195346058348419
KG07: Surian,KJ15: KL Sentral,1079,Surian,KL Sentral,3.0330214446829107
KG07: Surian,KJ16: Bank Rakyat Bangsar,3009,Surian,Bank Rakyat Bangsar,3.4784221877400805
KG07: Surian,KJ17: Abdullah Hukum,7328,Surian,Abdullah Hukum,3.8649854606597938
KG07: Surian,KJ18: Kerinchi,3167,Surian,Kerinchi,3.500648063371912
KG07: Surian,KJ19: Universiti,2313,Surian,Universiti,3.3641756327706194
KG07: Surian,KJ21: Asia Jaya,1148,Surian,Asia Jaya,3.059941888061955
KG07: Surian,KJ28: Subang Jaya,801,Surian,Subang Jaya,2.9036325160842376
KG07: Surian,MR01: KL Sentral,12,Surian,KL Sentral,1.0791812460476249
KG07: Surian,MR04: Hang Tuah,1361,Surian,Hang Tuah,3.133858125203335
KG07: Surian,MR05: Imbi,85,Surian,Imbi,1.9294189257142926
KG07: Surian,MR06: Bukit Bintang,19,Surian,Bukit Bintang,1.2787536009528289
KG07: Surian,SP15: Bandar Tasik Selatan,2143,Surian,Bandar Tasik Selatan,3.3310221710418286
KG08: Mutiara Damansara,AG04: PWTC,2431,Mutiara Damansara,PWTC,3.3857849588433355
KG08: Mutiara Damansara,AG06: Bandaraya,2331,Mutiara Damansara,Bandaraya,3.3675422735205767
KG08: Mutiara Damansara,AG07: Masjid Jamek,3120,Mutiara Damansara,Masjid Jamek,3.494154594018443
KG08: Mutiara Damansara,AG10: Pudu,1814,Mutiara Damansara,Pudu,3.2586372827240764
KG08: Mutiara Damansara,AG18: Ampang,4899,Mutiara Damansara,Ampang,3.6901074394563307
KG08: Mutiara Damansara,KG06: Kota Damansara,39905,Mutiara Damansara,Kota Damansara,4.601027315144486
KG08: Mutiara Damansara,KG07: Surian,63824,Mutiara Damansara,Surian,4.804984018965764
KG08: Mutiara Damansara,KG09: Bandar Utama,99344,Mutiara Damansara,Bandar Utama,4.997141642501908
KG08: Mutiara Damansara,KG10: TTDI,36728,Mutiara Damansara,TTDI,4.564997279757964
KG08: Mutiara Damansara,KG13: Pusat Bandar Damansara,45186,Mutiara Damansara,Pusat Bandar Damansara,4.6550038979849875
KG08: Mutiara Damansara,KG14: Semantan,20648,Mutiara Damansara,Semantan,4.314877991535813
KG08: Mutiara Damansara,KG15: Muzium Negara,49639,Mutiara Damansara,Muzium Negara,4.695823023856982
KG08: Mutiara Damansara,KG16: Pasar Seni,13461,Mutiara Damansara,Pasar Seni,4.129077324252736
KG08: Mutiara Damansara,KG18: Bukit Bintang,54653,Mutiara Damansara,Bukit Bintang,4.737614006133595
KG08: Mutiara Damansara,KG20: Tun Razak Exchange,24251,Mutiara Damansara,Tun Razak Exchange,4.384729651619834
KG08: Mutiara Damansara,KG21: Cochrane,9677,Mutiara Damansara,Cochrane,3.9857407410500745
